Target Distance:	1000, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (0.69799, -19.9878)
2: (x,y) = (20.1039, -15.1494)
3: (x,y) = (39.8001, -11.6764)
4: (x,y) = (59.724, -13.4195)
5: (x,y) = (39.7361, -14.1175)
6: (x,y) = (20.5109, -19.6303)
7: (x,y) = (1.10499, -24.4687)
8: (x,y) = (15.4918, -10.5755)
9: (x,y) = (5.79559, -28.0679)
10: (x,y) = (-8.83148, -41.7079)
11: (x,y) = (-11.2689, -61.5588)
12: (x,y) = (8.73113, -61.5588)
13: (x,y) = (-5.16204, -75.9456)
14: (x,y) = (0.350711, -95.1709)
15: (x,y) = (-18.0594, -87.3562)
16: (x,y) = (-15.2759, -67.5509)
17: (x,y) = (3.74521, -73.7312)
18: (x,y) = (17.8873, -87.8733)
19: (x,y) = (35.8632, -79.1059)
20: (x,y) = (23.0075, -63.785)
21: (x,y) = (28.8549, -82.9111)
22: (x,y) = (39.4533, -65.9502)
23: (x,y) = (59.2587, -63.1667)
24: (x,y) = (45.3655, -48.7799)
25: (x,y) = (37.2308, -67.0508)
26: (x,y) = (17.6678, -71.209)
27: (x,y) = (29.981, -86.9693)
28: (x,y) = (42.2943, -71.209)
29: (x,y) = (23.3839, -77.7204)
30: (x,y) = (3.4113, -76.6737)
31: (x,y) = (-5.66851, -58.8536)
32: (x,y) = (2.46622, -77.1245)
33: (x,y) = (22.3901, -75.3814)
34: (x,y) = (40.366, -66.6139)
35: (x,y) = (35.867, -86.1013)
36: (x,y) = (16.9566, -92.6127)
37: (x,y) = (-2.96729, -94.3558)
38: (x,y) = (-13.2681, -77.2125)
39: (x,y) = (-13.966, -97.2003)
40: (x,y) = (-32.0922, -105.653)
41: (x,y) = (-49.2355, -95.3519)
42: (x,y) = (-33.4753, -107.665)
43: (x,y) = (-28.299, -88.3466)
44: (x,y) = (-16.8274, -71.9636)
45: (x,y) = (-29.9486, -87.0578)
46: (x,y) = (-10.3161, -83.2416)
47: (x,y) = (-29.1099, -76.4012)
48: (x,y) = (-23.2625, -57.2751)
49: (x,y) = (-7.94159, -70.1308)
50: (x,y) = (-23.7018, -82.4441)
51: (x,y) = (-43.6744, -83.4908)
52: (x,y) = (-62.2181, -75.9986)
53: (x,y) = (-70.6704, -57.8725)
54: (x,y) = (-89.989, -52.6961)
55: (x,y) = (-108.783, -59.5365)
56: (x,y) = (-107.04, -39.6126)
57: (x,y) = (-91.2795, -27.2994)
